year,destination,origin,share
2024,CY,CY,1.0
2024,LU,LU,1.0
2024,AT,AT,0.9241545918284128
2024,AT,CZ,0.0461177342672586
2024,AT,DE,0.0258308778020449
2024,AT,CH,0.0038967961022835
2024,BE,BE,0.5608903504234571
2024,BE,FR,0.3368022147787929
2024,BE,NL,0.1023074347977499
2024,BG,BG,0.9848856153766666
2024,BG,TR,0.0143500404179051
2024,BG,RO,0.000764344205428
2024,CH,CH,0.7617157719547611
2024,CH,FR,0.2382842280452389
2024,CZ,CZ,0.9628880580363302
2024,CZ,DE,0.0371119419636698
2024,DE,DE,0.9569873478976836
2024,DE,FR,0.0181964995082372
2024,DE,DK,0.0065135207262584
2024,DE,BE,0.0059665727832979
2024,DE,NL,0.003882127124349
2024,DE,CH,0.0038707344887928
2024,DE,NO,0.0031626732119579
2024,DE,SE,0.001420524259423
2024,ES,ES,0.9971902878150446
2024,ES,FR,0.0028097121849553
2024,FI,FI,0.9747070673462748
2024,FI,SE,0.0252929326537251
2024,FR,FR,1.0
2024,GR,GR,0.9598831335208527
2024,GR,BG,0.0183930603287066
2024,GR,WE,0.0148729042829166
2024,GR,TR,0.0068509018675238
2024,HR,HR,0.5990251714610524
2024,HR,SI,0.290988014624282
2024,HR,HU,0.1099868139146655
2024,HU,HU,0.7385500824225425
2024,HU,AT,0.1791376380665881
2024,HU,SK,0.051617356542048
2024,HU,SI,0.0306949229688213
2024,IE,IE,0.9065393601076834
2024,IE,GB,0.0934606398923166
2024,IT,IT,0.8150541398936765
2024,IT,CH,0.0783717170051474
2024,IT,FR,0.0775272300074509
2024,IT,AT,0.0086107275184798
2024,IT,WE,0.0081409641561123
2024,IT,GR,0.0066427066858017
2024,IT,SI,0.0056525147333311
2024,NL,NL,0.9915041211697224
2024,NL,NO,0.007075038752777
2024,NL,DK,0.0014208400775005
2024,PL,PL,0.9794663448913844
2024,PL,DE,0.0125763961453285
2024,PL,SE,0.0063455438835749
2024,PL,CZ,0.0016117150797123
2024,PT,PT,0.8074008275296412
2024,PT,ES,0.1925991724703589
2024,RO,RO,0.9381250591245408
2024,RO,HU,0.0609537651894632
2024,RO,WE,0.000921175685996
2024,SI,SI,0.6828445383359238
2024,SI,AT,0.3171554616640762
2024,SK,SK,0.8589090271564257
2024,SK,PL,0.086386802377529
2024,SK,CZ,0.0547041704660451
2024,EE,EE,0.5684161310590907
2024,EE,FI,0.4315838689409092
2024,LV,LV,0.8025448295400076
2024,LV,EE,0.105821559638781
2024,LV,LT,0.0916336108212113
2024,LT,LT,0.647472415763329
2024,LT,SE,0.2970666230325327
2024,LT,PL,0.0554609612041383
2024,DK,DK,0.6775181803053544
2024,DK,SE,0.1873965733788521
2024,DK,NO,0.1350852463157934
2024,SE,SE,1.0
2024,NO,NO,0.9674339654672264
2024,NO,SE,0.0325660345327737
